"country_id","value"
"AFG",1
"ALB",1
"ARE",1
"ARG",1
"ARM",1
"ATG",1
"AUS",1
"AUT",1
"AZE",1
"BDI",1
"BEL",1
"BEN",1
"BFA",1
"BGD",1
"BGR",1
"BHS",1
"BIH",1
"BLR",1
"BLZ",1
"BOL",1
"BRA",1
"BRB",1
"BRN",1
"BTN",1
"BWA",1
"CAF",1
"CAN",1
"CHE",1
"CHL",1
"CHN",1
"CIV",1
"CMR",1
"COD",1
"COG",1
"COL",1
"COM",1
"CPV",1
"CRI",1
"CUB",1
"CYP",1
"CZE",1
"DEU",1
"DJI",1
"DMA",1
"DNK",1
"DOM",1
"DZA",1
"ECU",1
"EGY",1
"ERI",1
"ESP",1
"EST",1
"ETH",1
"FIN",1
"FJI",1
"FRA",1
"GAB",1
"GBR",1
"GEO",1
"GHA",1
"GIN",1
"GMB",1
"GNB",1
"GNQ",1
"GRC",1
"GRD",1
"GTM",1
"GUY",1
"HND",1
"HRV",1
"HUN",1
"IDN",1
"IND",1
"IRL",1
"IRN",1
"ISL",1
"ISR",1
"ITA",1
"JAM",1
"JOR",1
"JPN",1
"KAZ",1
"KEN",1
"KGZ",1
"KHM",1
"KNA",1
"KWT",1
"LAO",1
"LBR",1
"LBY",1
"LCA",1
"LIE",1
"LKA",1
"LSO",1
"LTU",1
"LUX",1
"LVA",1
"MAR",1
"MCO",1
"MDA",1
"MDG",1
"MEX",1
"MKD",1
"MLI",1
"MLT",1
"MMR",1
"MNE",1
"MNG",1
"MOZ",1
"MRT",1
"MUS",1
"MWI",1
"MYS",1
"NAM",1
"NER",1
"NGA",1
"NIC",1
"NLD",1
"NOR",1
"NPL",1
"NZL",1
"OMN",1
"PAK",1
"PAN",1
"PER",1
"PHL",1
"PLW",1
"PNG",1
"POL",1
"PRK",1
"PRT",1
"PRY",1
"QAT",1
"ROU",1
"RUS",1
"RWA",1
"SAU",1
"SDN",1
"SEN",1
"SGP",1
"SLB",1
"SLE",1
"SLV",1
"SMR",1
"SOM",1
"SRB",1
"STP",1
"SUR",1
"SVK",1
"SVN",1
"SWE",1
"SWZ",1
"SYC",1
"SYR",1
"TCD",1
"TGO",1
"THA",1
"TTO",1
"TUN",1
"TUR",1
"TZA",1
"UGA",1
"UKR",1
"URY",1
"USA",1
"UZB",1
"VCT",1
"VEN",1
"VNM",1
"VUT",1
"WSM",1
"YEM",1
"ZAF",1
"ZMB",1
"ZWE",1
